Question,Answer
"Question: In multiple regression, which measure is used as a better indicator of model goodness of fit as compared to R-squared?

A. Adjusted R2
B. Mean Absolute Error
C. Root Mean Squared Error
D. Coefficient of Determination","Answer: A. Adjusted R2

Explanation: Adjusted R2 is used in multiple regression as it adjusts for the degrees of freedom by considering the number of independent variables, ensuring a more reliable measure of model fit as variables are added or removed."
"Question: What criteria are used to evaluate model fit and select the best model among a group of models with the same dependent variable in multiple regression?

A. Mean Squared Error and Root Mean Squared Error
B. Akaike’s information criterion (AIC) and Schwarz’s Bayesian information criteria (BIC)
C. Coefficient of Determination and F-statistic
D. Standard Error of the Estimate and Mean Absolute Deviation","Answer: B. Akaike’s information criterion (AIC) and Schwarz’s Bayesian information criteria (BIC)

Explanation: AIC and BIC are used to evaluate model fit and select the best model. AIC is preferred for prediction purposes, while BIC is preferred for goodness of fit, with lower values indicating better fit."
"Question: What type of test is used to jointly test a subset of variables in a multiple regression model, where the null hypothesis assumes that the slope coefficients of certain independent variables are zero?

A. t-Test
B. Joint F-Test
C. Paired t-Test
D. Chi-Square Test","Answer: B. Joint F-Test

Explanation: The Joint F-Test is used to test multiple coefficients simultaneously. It compares the full model (unrestricted) with a reduced model (restricted), where the null hypothesis states that the coefficients of the excluded variables are equal to zero."
"Question: What is the purpose of using the general linear F-test in multiple regression analysis?

A. To test for multicollinearity among independent variables
B. To compare the slope coefficients of the independent variables to zero
C. To test the overall significance of the regression model
D. To assess the normality of the residuals in the model","Answer: C. To test the overall significance of the regression model

Explanation: The general linear F-test is used to test the overall significance of the regression model by examining if at least one of the independent variables has a significant effect on the dependent variable."
"Question: When predicting the value of the dependent variable in multiple regression, what do you sum to calculate the forecasted value?

A. Intercept coefficient only
B. Intercept coefficient and the product of all independent variables' coefficients
C. Intercept coefficient and the sum of all independent variables
D. Intercept coefficient and the product of independent variable coefficients with their assumed values","Answer: D. Intercept coefficient and the product of independent variable coefficients with their assumed values

Explanation: To predict the dependent variable in multiple regression, sum the product of each independent variable's coefficient with its assumed value, and then add the intercept coefficient to obtain the forecasted value."
"Question: How does the confidence interval around the forecasted value of the dependent variable in multiple regression reflect the error sources?

A. It only accounts for model error
B. It only accounts for sampling error
C. It reflects both model error and sampling error
D. It includes measurement error in the independent variables","Answer: C. It reflects both model error and sampling error

Explanation: The confidence interval around the forecasted value considers both model error and sampling error, with larger sampling errors leading to wider confidence intervals reflecting greater uncertainty in the prediction of the dependent variable."
"Question: In multiple regression, which measure adjusts for the degrees of freedom by incorporating the number of independent variables, providing a more reliable indicator of model goodness of fit?

A. F-statistic
B. Mean Absolute Error
C. Adjusted R2
D. Root Mean Squared Error","Answer: C. Adjusted R2

Explanation: Adjusted R2 adjusts for the number of independent variables in multiple regression, offering a better measure of model fit compared to R-squared by considering the degrees of freedom."
"Question: Which criteria are preferred in multiple regression analysis if the goal is to focus on goodness of fit?

A. Mean Squared Error and Root Mean Squared Error
B. Akaike’s information criterion (AIC) and Schwarz’s Bayesian information criteria (BIC)
C. Coefficient of Determination and Adjusted R2
D. Standard Error of the Estimate and Mean Absolute Deviation","Answer: B. Akaike’s information criterion (AIC) and Schwarz’s Bayesian information criteria (BIC)

Explanation: AIC and BIC are preferred in multiple regression when the emphasis is on the goodness of fit, with lower values indicating a better fit among models with the same dependent variable."
"Question: What test is used in multiple regression to jointly assess a subset of variables by comparing a restricted model with fewer independent variables to an unrestricted model?

A. t-Test
B. General Linear F-Test
C. ANOVA Test
D. Joint F-Test","Answer: D. Joint F-Test

Explanation: The Joint F-Test is utilized in multiple regression to test whether the coefficients of excluded variables in the restricted model are jointly significant, compared to the unrestricted model with additional independent variables."
"Question: In multiple regression, which type of hypothesis test is used to evaluate the overall significance of the regression model by assuming all independent variables have slope coefficients of zero?

A. Paired t-Test
B. Chi-Square Test
C. General Linear F-Test
D. ANOVA Test","Answer: C. General Linear F-Test

Explanation: The General Linear F-Test is applied in multiple regression to test the overall significance of the regression model by hypothesizing that all independent variables' slope coefficients are equal to zero, determining the collective impact of the variables."
