Question,Answer
"Question: What is a common consequence of multicollinearity in regression analysis?

A. Inflated standard errors  
B. Decreased variability in residuals  
C. Underestimation of regression coefficients  
D. Increased R-squared value","Answer: A. Inflated standard errors

Explanation: Multicollinearity leads to inflated standard errors, which in turn affect the t-statistics and confidence intervals for the regression coefficients."
"Question: What type of misspecification results from inappropriate variable scaling in regression analysis?

A. Omitted variable bias  
B. Measurement error  
C. Data pooling error  
D. Functional form error","Answer: B. Measurement error

Explanation: Inappropriate variable scaling can lead to measurement error in regression analysis, which is a common form of misspecification that affects the results."
"Question: The Breusch–Pagan (BP) test is used to detect:

A. Multicollinearity  
B. Heteroskedasticity  
C. Serial correlation  
D. Measurement error","Answer: B. Heteroskedasticity

Explanation: The Breusch–Pagan (BP) test is specifically designed to detect heteroskedasticity in regression analyses. If significant, it indicates the presence of conditional heteroskedasticity that needs to be addressed."
"Question: What does the Breusch–Godfrey (BG) test detect in regression analysis?

A. Multicollinearity  
B. Heteroskedasticity  
C. Measurement error  
D. Serial correlation","Answer: D. Serial correlation

Explanation: The Breusch–Godfrey (BG) test is a method used to detect serial correlation (or autocorrelation) in regression models, which occurs when there is correlation among the errors across observations."
"Question: What is a possible consequence of serial correlation in regression analysis?

A. Inflated standard errors  
B. Underestimation of coefficients  
C. Increased model accuracy  
D. Decreased R-squared value","Answer: A. Inflated standard errors

Explanation: Serial correlation can lead to inflated standard errors in regression analysis, affecting the reliability of coefficient estimates and hypothesis testing."
"Question: What is a key indicator of serious multicollinearity that requires correction in regression analysis?

A. VIFj = 1 for variable Xj  
B. VIFj > 3 for variable Xj  
C. VIFj > 7 for variable Xj  
D. VIFj > 10 for variable Xj","Answer: D. VIFj > 10 for variable Xj

Explanation: A Variance Inflation Factor (VIF) exceeding 10 for a particular variable indicates serious multicollinearity in the regression model that needs to be addressed through corrective actions."
"Question: Which type of heteroskedasticity is problematic for statistical inference as it results in underestimation of regression coefficients' standard errors?

A. Unconditional heteroskedasticity  
B. Conditional heteroskedasticity  
C. Autoregressive heteroskedasticity  
D. Constant variance heteroskedasticity","Answer: B. Conditional heteroskedasticity

Explanation: Conditional heteroskedasticity is a type of heteroskedasticity where error variance is correlated with independent variables, leading to underestimation of standard errors and inflated t-statistics, thus impacting statistical inference."
"Question: What principle for proper regression model specification emphasizes the need for the model to have good out-of-sample performance?

A. Economic reasoning behind variable choices  
B. Parsimony  
C. Avoiding violations of regression assumptions  
D. Appropriate model functional form","Answer: B. Parsimony

Explanation: The principle of parsimony in regression model specification highlights the importance of keeping the model simple while ensuring good out-of-sample performance, which aids in generalizing the model to new data."
"Question: What is a typical consequence of failures in regression functional form due to inappropriate data pooling?

A. Omitted variable bias  
B. Measurement error  
C. Autocorrelation  
D. Heteroskedasticity","Answer: B. Measurement error

Explanation: Inappropriate data pooling can lead to measurement error in regression functional form, impacting the accuracy and reliability of the results by introducing inaccuracies stemming from the combination of diverse datasets."
"Question: Which statistical inference problem is characterized by correlated errors across observations and may be a serious issue in time-series regressions?

A. Multicollinearity  
B. Heteroskedasticity  
C. Measurement error  
D. Serial correlation","Answer: D. Serial correlation

Explanation: Serial correlation, also known as autocorrelation, occurs when regression errors are correlated across observations, especially in time-series data, leading to biased coefficient estimates and inflated standard errors affecting statistical inference."
