Question,Answer
"Question: What is a common method for identifying influential data points in regression analysis?

A) Standard deviation analysis  
B) Studentized residuals  
C) Mean absolute deviation assessment  
D) Quantile regression","Answer: B) Studentized residuals  

Explanation: Studentized residuals are a measure used to identify influential data points in regression analysis. If the studentized residual is greater than the critical value of the t-statistic, then the observation is potentially influential."
"Question: In logistic regression, what method is typically used to estimate the coefficients of the model?

A) Ordinary Least Squares (OLS)  
B) Maximum likelihood estimation (MLE)  
C) Ridge regression  
D) Principal Component Analysis (PCA)","Answer: B) Maximum likelihood estimation (MLE)  

Explanation: Logistic regression coefficients are usually estimated using the maximum likelihood estimation method. This technique maximizes the likelihood function to find the parameter values that make the observed data most probable under the assumed model."
"Question: Which measure for identifying influential data points in regression analysis assesses how much the estimated values change if a specific observation is deleted?

A) Cook’s distance  
B) Leverage  
C) Variance inflation factor  
D) Mahalanobis distance","Answer: A) Cook’s distance  

Explanation: Cook’s distance, or Cook’s D, is a metric used to identify influential data points in regression analysis. It measures the change in estimated values if an observation is deleted, with a threshold value set for identifying potentially influential points."
"Question: What type of variable is often represented using dummy variables in regression analysis?

A) Continuous variable  
B) Ordinal variable  
C) Categorical variable  
D) Nominal variable","Answer: C) Categorical variable  

Explanation: Dummy variables are frequently used to represent qualitative independent variables, which are categorical variables that can take on different levels or categories. Categorical variables help capture non-numeric data in regression models."
"Question: In logistic regression, what transformation is applied to linearize the relationship between the transformed dependent variable and independent variables?

A) Square root transformation  
B) Exponential transformation  
C) Logarithmic transformation  
D) Polynomial transformation","Answer: C) Logarithmic transformation  

Explanation: In logistic regression, the logistic transformation of the event probability into the log odds is applied to linearize the relationship between the transformed dependent variable and the independent variables. This transformation helps in modeling the binary outcomes in logistic regression."
"Question: Which metric is used to visually present leverage, studentized residuals, and Cook’s D for each observation in regression analysis?

A) Correlation ratio  
B) Mahalanobis distance  
C) Hat matrix  
D) Influence plot","Answer: D) Influence plot  

Explanation: An influence plot is a visual representation that displays leverage, studentized residuals, and Cook’s D for each observation in regression analysis. It helps identify influential data points based on their characteristics such as leverage, residual values, and impact on the regression model."
"Question: What is the purpose of dummy variables in regression analysis?

A) To represent continuous variables  
B) To detect multicollinearity  
C) To handle missing data  
D) To represent categorical variables","Answer: D) To represent categorical variables  

Explanation: Dummy variables are used in regression analysis to represent categorical variables, allowing qualitative independent variables to be included in the model. Dummy variables help capture different categories or levels within a categorical variable for regression model interpretation and analysis."
"Question: What mathematical transformation is commonly applied to event probabilities in logistic regression?

A) Exponential transformation  
B) Sine transformation  
C) Logit transformation  
D) Square transformation","Answer: C) Logit transformation  

Explanation: In logistic regression, the event probability is transformed into the log odds using the logit transformation. This transformation helps linearize the relationship between the dependent variable and the independent variables, making logistic regression suitable for binary classification problems."
"Question: What measure assesses the potential influence of a data point by comparing the change in regression estimates if that data point is removed?

A) Variance inflation factor  
B) Dickey-Fuller statistic  
C) Mahalanobis distance  
D) Cook’s distance","Answer: D) Cook’s distance  

Explanation: Cook’s distance is used in regression analysis to measure the influence of individual data points by calculating how much the regression estimates change if a specific data point is omitted. If Cook’s distance surpasses a certain threshold, the data point is considered influential."
"Question: What type of regression model is often used in binary classification problems?

A) Polynomial regression  
B) Ridge regression  
C) Logistic regression  
D) Lasso regression","Answer: C) Logistic regression  

Explanation: Logistic regression is commonly utilized in binary classification to predict the probability of an event or outcome occurring. Unlike linear regression, logistic regression models the relationship between the categorical dependent variable and independent variables using the log odds."
