Question,Answer
"Question: What is the purpose of using dummy variables in a regression model?

A. To increase the sample size  
B. To capture qualitative independent variables  
C. To eliminate outliers  
D. To reduce multicollinearity","Answer: B

Explanation: Dummy variables are used in regression models to represent qualitative independent variables and capture their effects on the dependent variable."
"Question: In multiple regression analysis, what does leverage measure for each observation?

A. The impact of outliers on the regression line  
B. How much the estimated values of the regression change if the observation is deleted  
C. The degree to which an observation affects the slope of the regression line  
D. How extreme an observation's value is in terms of independent variables","Answer: D

Explanation: Leverage in multiple regression analysis measures how extreme an observation's value is in terms of independent variables, helping to identify high-leverage points."
"Question: What method is typically used to estimate logistic regression coefficients?

A. Ordinary Least Squares (OLS)  
B. Maximum Likelihood Estimation (MLE)  
C. Ridge Regression  
D. Principal Component Analysis (PCA)","Answer: B

Explanation: Logistic regression coefficients are typically estimated using the Maximum Likelihood Estimation (MLE) method, which is commonly used for binary classification problems with qualitative dependent variables."
"Question: In a multiple regression model, what does Cook's distance measure to identify influential data points?

A. How much the regression line shifts with each observation  
B. The probability of an observation being an outlier  
C. The leverage of each observation in the model  
D. How much the estimated values of the regression change if an observation is deleted","Answer: D

Explanation: Cook's distance measures how much the estimated values of the regression change if a particular observation is deleted, helping to identify influential data points that may affect the overall regression results."
"Question: In logistic regression, what transformation is applied to the event probability to linearize the relationship with independent variables?

A. Square root transformation  
B. Exponential transformation  
C. Logistic transformation  
D. Logarithmic transformation","Answer: C

Explanation: The logistic transformation of the event probability into the log odds, ln[P/(1 − P)], is applied in logistic regression to linearize the relationship between the transformed dependent variable and the independent variables for estimation."
"Question: How does an intercept dummy variable affect the regression line in a model?

A. It shifts the regression line left or right  
B. It changes the slope of the regression line  
C. It adds a constant value to the intercept  
D. It has no impact on the regression line","Answer: C

Explanation: An intercept dummy variable adds to or reduces the original intercept value if a specific condition is met in the model, resulting in a shift in the regression line parallel to the base regression line."
"Question: How are high-leverage points identified in a regression model?

A. By examining standardized residuals  
B. By calculating Cook's distance  
C. By comparing leverage to a threshold value  
D. By checking for multicollinearity","Answer: C

Explanation: Leverage points in a regression model are identified by comparing the leverage of each observation to a threshold value. If the leverage exceeds the threshold, the observation is considered a potentially high-leverage point."
"Question: What does a slope dummy variable allow for in a regression model?

A. Changing the scale of the dependent variable  
B. Adjusting the significance level of the independent variables  
C. Shifting the regression line up or down  
D. Modifying the slope of the regression line","Answer: D

Explanation: A slope dummy variable allows for a changing slope in the regression model if a specific condition is met, altering the relationship between an independent variable and the dependent variable by modifying the original slope."
"Question: What role do studentized residuals play in identifying influential data points in regression analysis?

A. They measure the leverage of each observation  
B. They indicate the probability of an observation being an outlier  
C. They help evaluate the effect of each observation on the regression line  
D. They quantify how much the estimated values of the regression change if an observation is deleted","Answer: C

Explanation: Studentized residuals in regression analysis are used to evaluate the effect of each observation on the regression line, helping to identify potentially influential data points that may impact the overall regression results."
"Question: What is the primary use of logistic regression models?

A. Predicting continuous outcomes  
B. Analyzing time series data  
C. Understanding causal relationships  
D. Binary classification problems","Answer: D

Explanation: Logistic regression models are primarily used for binary classification problems where the dependent variable is qualitative, making them suitable for scenarios like predicting whether an event will happen or not."
